steps,rate_target_reached
27365,0.55
49505,0.69
72141,0.67
98383,0.6
118369,0.76
148315,0.5
177500,0.48
204811,0.56
229984,0.58
254376,0.63
280842,0.53
312685,0.41
343917,0.43
375346,0.45
402002,0.53
430793,0.47
465131,0.37
494629,0.46
521451,0.53
549023,0.5
583271,0.36
613091,0.43
640193,0.49
669000,0.5
697183,0.48
722015,0.57
744100,0.63
768595,0.58
786890,0.7
804849,0.74
824396,0.68
846588,0.63
866856,0.66
889425,0.62
911222,0.62
927412,0.73
944836,0.74
958412,0.78
974653,0.74
989463,0.77
1004175,0.76
1015711,0.82
1027187,0.84
1035890,0.91
1041662,0.95
1047209,0.94
1052785,0.95
1060372,0.92
1065285,0.97
1070534,0.95
1076064,0.94
1079578,0.98
1083927,0.97
1088047,0.96
1091882,0.97
1097595,0.94
1101446,0.97
1104483,1.0
1108208,0.98
1110290,1.0
1112036,1.0
1114186,1.0
1117190,0.99
1118596,1.0
1120692,0.99
1122682,1.0
1124323,1.0
1127253,0.98
1129002,1.0
1130693,1.0
1133149,1.0
1135626,1.0
1137494,1.0
1140467,0.99
1142841,0.99
1145009,0.99
1147208,1.0
1149683,0.99
1152097,0.98
1154011,1.0
1156217,1.0
