steps,rate_target_reached
27154,0.57
52164,0.61
79942,0.54
102248,0.63
129817,0.59
160841,0.49
188436,0.58
215863,0.54
243775,0.52
273550,0.47
307169,0.38
338070,0.43
370999,0.38
399668,0.5
431266,0.4
462477,0.44
492985,0.43
523938,0.42
557023,0.37
592203,0.32
624599,0.39
651890,0.51
679745,0.48
704827,0.62
728579,0.6
750770,0.63
771766,0.68
792612,0.67
809699,0.72
829124,0.68
845844,0.73
865970,0.66
882076,0.75
905874,0.6
923571,0.71
941669,0.7
954784,0.79
970152,0.76
986556,0.74
1001256,0.77
1016303,0.77
1027837,0.82
1035699,0.91
1042876,0.92
1048461,0.96
1055349,0.93
1060621,0.95
1067420,0.91
1073652,0.92
1078936,0.94
1085157,0.94
1089103,0.97
1093164,0.96
1096785,0.99
1099290,1.0
1102790,0.97
1113257,0.82
1115615,0.99
1118200,0.99
1122402,0.97
1124492,1.0
1126155,1.0
1131766,0.93
1134715,0.99
1137081,0.99
1139717,0.98
1143471,0.98
1149410,0.92
1151208,1.0
1152989,0.99
1155164,1.0
