steps,reward
0,0,0
600,9.974974417847433,2
1399,9.780098501355718,11
2079,9.770991895471084,11
2725,10.0,1
3302,9.554872732494935,19
3863,9.818278730118532,8
4456,9.986862810443956,1
5035,9.959329633812047,3
5730,9.847698580089542,8
6320,9.962702807198832,3
6949,9.845038348449592,8
7636,9.852434765667118,7
8259,9.836598807798774,9
9017,9.81297762953842,10
9666,9.786463158868827,10
10272,9.832696329108149,9
10959,9.876865070966735,6
11570,9.74269272158976,11
12263,9.863055565205508,7
12958,9.86899333608032,7
13711,9.822378757028028,9
14323,9.839269303507514,8
14916,10.0,1
15794,9.849328920905293,8
16451,9.88134074361708,6
17144,9.891326300015542,7
17804,9.830311870199822,9
18434,9.951450432959632,3
19075,9.872279556950108,7
19715,9.73495939523387,13
20377,9.867776867860062,7
21090,9.772365719311171,11
21725,9.97483912185817,2
22280,9.77115470537769,11
23267,9.785355314062427,10
23946,9.715487712134907,12
24576,9.76682030978088,10
25178,9.897433931118941,5
25829,9.904378804629017,6
26486,9.903472737054116,6
27101,9.968028671346973,3
27885,9.892669235048595,6
28457,9.987709018029921,1
29081,9.928112336000357,5
29875,9.875580079919372,7
30515,9.706025634836173,13
31111,9.980251494615796,2
31746,9.929713957340619,5
32373,9.764121997319096,10
33090,9.881885312238289,6
33688,9.853520029447422,8
34416,9.92960351106631,5
35134,9.893013373261784,6
35786,9.878361028962392,6
36449,9.747084041603866,11
37060,9.899956828969712,6
37699,9.753647946789483,11
38373,9.733202171388555,12
39023,9.852434374955243,7
39706,9.771087313448346,11
40367,10.0,1
41001,9.976519970971761,2
41634,9.841725084790067,8
42359,9.97812432288539,2
42985,9.867040010705189,7
43599,9.799648590997279,10
44302,9.841450086234087,8
45005,9.958153944788355,3
45561,9.774055111810451,10
46246,9.582315036537947,17
46929,10.0,1
47522,9.961564899688577,3
48257,9.929517630413114,5
48867,9.710999943748888,13
49507,9.97832123107692,2
50112,9.87597232870392,7
50772,9.98567613695703,2
51380,9.896184212471365,5
51990,9.740107852149027,11
52643,9.90694711180338,5
53479,9.934960685050738,4
54145,9.996225636941421,1
54842,9.808865758282098,10
55785,-39.38412773228871,100
56743,10.0,1
57303,9.678575215551987,15
57866,10.0,1
58497,9.982961384203598,2
59157,9.856944733387511,7
59759,9.948819909456116,3
60372,10.0,1
61036,9.848546310753544,8
