steps,reward,lenght
0,0,0
668,10.0,1
1449,9.894075864379152,6
2080,9.884801345521,6
2855,9.98849889204319,1
3514,9.92813977851222,4
4376,9.82647752723924,8
5207,9.809606316884476,10
5790,10.0,1
6338,10.0,1
7307,9.969457598517957,2
7982,9.924379906844614,5
8645,9.962242872598,3
9304,9.78032469957246,9
10092,9.830459245304803,8
10782,9.846391218022909,8
11443,9.88917852369086,6
12136,9.788209148389637,10
13207,9.781363133938926,11
13846,10.0,1
14469,9.996397311541845,1
15121,9.810121128245957,9
15973,9.930345253653503,5
16677,9.933628528961357,4
17395,9.654388170816794,17
18032,10.0,1
18741,9.981119685979152,2
19342,9.926274383785742,4
19994,9.88266166898381,6
20700,9.538537830734677,18
21346,10.0,1
21983,9.795945857864975,9
22760,9.996799268840821,1
23543,9.92558979637804,5
24221,9.813871746407473,9
24915,-3.0724972391785212,100
25606,9.822925131575703,8
26153,9.9919604018905,1
27075,9.900488791163585,6
27652,9.844061226583323,8
28557,9.823136300158723,9
29311,9.69274978432107,14
29913,9.756710355523998,12
30627,9.726748221914752,12
31244,9.882393288704938,6
31931,9.893045224725093,6
32596,9.87047135441936,7
33293,9.752494144129198,12
33883,9.91174621389151,6
34659,9.81094466886435,9
35349,9.845059230032492,8
35997,9.767333310174463,11
36591,9.974950899684593,2
37312,10.0,1
37977,9.899054059578797,5
38601,9.902436865340198,6
39338,9.974255209036956,2
39955,9.693312408629673,13
40628,9.901386125994188,6
41285,9.7139401407613,12
42014,9.970919586241601,2
42670,9.716151620024979,13
43508,9.93986865918615,4
44121,9.834275720396755,8
44829,10.0,1
45422,9.90977243592805,5
46107,9.887880913262007,6
46795,9.918159306083165,5
47534,9.870319929109163,7
48181,9.688699919349588,13
48862,9.872917391899152,7
49605,9.782598838666763,11
50232,9.925234082419971,5
51023,8.837256348903535,20
51836,9.75342517003105,12
52403,10.0,1
53002,9.830455665616363,9
53766,9.848850720802814,7
54306,9.923678718996982,5
54966,10.0,1
55679,9.781219111015277,10
56303,9.984456470657781,2
56973,9.978317808971891,2
57599,9.881970074125226,7
58975,9.894051909003327,6
59713,9.817188251023866,9
60685,9.984778088800962,2
61369,9.625570569242788,18
61987,9.630032987668487,16
62685,9.896121064320056,6
63317,9.94286090087197,4
63935,9.870479286399673,7
64586,9.861892262450834,7
65259,9.84072390083635,8
65856,9.800518818866971,9
66514,10.0,1
67089,9.847826286773204,8
67706,9.917346817722901,5
68396,9.934765796486495,5
69071,9.760734620410147,12
69813,9.918889730777051,5
70501,9.825821243506791,9
71058,9.900319946286189,6
71676,9.783160917025311,10
72312,10.0,1
72935,9.99271772438067,1
73562,9.973097935711278,2
74281,9.979881133326801,2
74970,9.78109765654414,10
75590,9.920965373532757,5
76230,9.95470428094335,3
76867,9.909648905820502,6
77616,9.814548267510594,9
78186,9.942365743644567,4
78876,9.582176230735508,19
79523,10.0,1
80234,9.927357809270957,5
80862,9.996444342325026,1
81512,9.771021792980216,10
