steps,reward,lenght
0,0,0
789,9.955874382087197,3
1400,9.841516608175347,8
1997,9.918057806989477,5
2573,9.980550305353287,2
3217,9.79520731361608,9
4410,9.831909836781442,8
5120,9.874898770085043,6
5747,9.800794826316851,9
6500,9.777817931803838,10
7148,9.761603308796209,11
7728,9.854154983012855,7
8364,10.0,1
9049,9.908767158821066,5
9828,9.97173975430288,2
10459,9.949246961385041,4
11103,9.951993078273585,3
11927,9.912752178975952,5
12635,9.935634368410952,4
13329,9.809016513831128,10
13887,9.959149523324104,3
14565,9.97286261390984,2
15275,9.484088480077043,20
15946,9.894580574598947,6
16556,9.898583166313244,6
17219,9.97054459139692,2
17866,9.947050139596007,3
18520,9.989237044515171,1
19195,9.895648962284524,6
19842,9.95718863325398,3
20410,9.908433278651774,5
21206,9.579866549026143,18
21799,9.9212546096685,5
22460,9.96548249243631,3
23285,9.915748343894355,5
23793,9.764703408628733,11
24444,9.816398191268437,10
25075,9.851699844416492,8
25742,9.913166698938344,5
26389,10.0,1
26944,9.7932149489743,10
27564,9.996233829781438,1
28356,9.980925968841364,2
