steps,reward,lenght
0,0,0
0,0,0
580,9.958100977755652,3
1165,9.856642787022492,8
1766,9.919266524933953,5
2446,9.865861885564023,8
3026,9.968466961527229,2
3756,9.804717855532873,10
4372,9.923460983692925,5
5084,9.902984989563937,5
5643,9.808355613202517,9
6244,9.996531866600588,1
6908,9.942987483732777,4
7560,9.858304997407128,7
8138,9.919403052868729,5
8785,10.0,1
9396,9.841999027538598,8
10049,10.0,1
10656,9.819088516304408,9
11284,9.948541967369128,4
12024,10.0,1
12676,9.77979339714382,10
13346,9.880684606105405,6
14054,9.906114651174422,5
14629,9.818424188368677,9
15253,9.892149644670353,6
15929,9.992992524255948,1
16548,9.675202377226341,14
17101,9.829175551218878,8
17774,9.880735896346165,6
18394,9.866053290854845,7
19091,9.675522884558134,14
19714,9.842620318963654,8
20326,9.923654899079457,5
21116,9.52351567112215,16
21739,9.922009763429818,5
22386,9.793307064232156,10
22988,10.0,1
23606,9.932377638959448,5
24214,9.992113274875539,1
24905,9.673114716045717,15
25519,9.79287991213685,10
26129,9.78618970059831,10
26778,9.742004205537057,12
27383,9.986275413520257,2
27973,9.906788552994996,5
28613,9.959792193166122,3
29291,9.67248661328407,14
29917,9.936201764980257,4
30510,9.937016130478261,4
31108,9.978003979625454,2
31712,9.854713256219487,8
32282,9.929876120435358,4
32999,9.952817060881138,3
33687,9.80508306076352,10
34255,9.918142243758641,5
34924,9.993000607008685,1
35528,9.86510093689054,7
36092,9.744994251454758,12
36658,9.914107758163151,5
37179,9.82673418779649,8
37823,9.772097647414048,11
38407,9.979694631104863,2
39064,9.881034254062579,6
39676,9.930846823568352,4
40236,9.903167373127921,6
40844,9.908578812483023,5
41532,10.0,1
42174,9.894643909130815,6
