steps,reward
166841,0.1778570469387848
166852,-28.6512387
167804,-26.40871283
168064,5.907839049825995
167841,9.975795856
168912,9.913745665924884
168377,10
168998,7.282945464154656
168456,-5.630540148
169413,9.875956151876533
170346,-10.09549058
170990,9.963845463886113
171106,8.831753784623928
171124,9.988203276015515
171317,-4.353965411
171919,9.900583461370598
173002,-4.38710614
173075,10
172679,-21.92903021
173366,2.336282533199694
172953,-38.62911985
173945,4.915088964461113
173400,9.818632801
174278,-27.41184445
174477,-6.144822046
174591,-10.22765645
175631,-27.68893996
176098,-2.950711849
176175,9.444890654997929
177533,10
176999,-17.62969493
177744,-2.26706405
177147,-37.19154798
178555,-34.90558245
178151,9.910446968985157
178989,10
179036,-26.66672798
179048,9.996236526548417
178561,7.378906603747096
179426,-30.07073529
179864,9.955212443847419
181137,10
181228,9.908179545550928
180806,9.770911753072017
180895,9.763384236310298
182556,9.911930608618281
182605,10
182062,9.892632067798202
182920,9.844866539550198
183057,9.940682608541959
183060,4.980124243437607
183221,-8.07446512
182652,1.8133466797920725
184065,10
184550,-10.87113456
184790,-3.10851345
184864,-2.72785723
186355,9.900769164104938
185854,3.065691798352935
186526,-19.80528511
187144,5.3696742881942185
187245,9.578950037990875
186664,-25.92960823
187413,9.583653837444503
187444,10
186879,-41.40603617
187777,9.983506311093056
188034,10
188449,-3.780137474
188461,7.6268680731319725
188857,10
190761,9.839614115718696
190381,10
190477,7.543834056601179
191428,-40.74999254
191639,-8.894013034
191792,10
191272,8.649073568094817
191939,6.520651783072486
192190,-27.80147484
192489,-41.42483042
192944,9.937236402092571
192959,-1.912416796
193047,-29.3938639
193077,-5.755849369
194582,-31.47064234
194327,10
194814,10
195690,9.996427275836872
195818,-2.35305791
195819,9.805396053
195855,9.882688151422997
195209,10
196077,-3.661609699
196251,8.33396548
196260,10
196294,9.904871986325539
196969,9.958920549629939
196405,9.982238912974195
198366,9.957639853822588
197692,9.061616896693367
198399,9.692406947955716
199236,-0.823362924
199336,9.653517649949594
198729,8.115110727
199434,-14.464457
199667,3.114028935809473
199820,9.943758654225066
199883,9.910098926879845
199936,9.688626975
200086,9.909861807663537
200925,10
200506,10
201711,9.874146739726548
201979,9.921467379007677
202155,-41.73832541
203009,7.004436074
202321,9.935088703011031
203310,9.863004301228868
203441,10
203791,-43.03313576
203811,8.268090994247034
203912,-2.894212532
204165,9.912337857129902
204313,-2.527469151
204480,-18.82289718
203945,10
204747,6.707343451187703
204955,-21.29864816
205719,9.823434768712119
206697,9.803877109477156
206025,9.635209699
206898,8.902666338653752
207036,9.918699811937461
207358,9.956170896033024
207444,-2.648118006
207524,10
207805,10
207081,9.975523204
208279,-23.03395642
208623,-2.492553555
208833,9.804836623553838
208223,-3.381454987
210161,9.984509887722496
210378,-18.7295374
210425,10
210946,9.992881204418344
210291,9.943715195
211051,10
210393,-3.598568158
211305,10
211427,6.689744577559211
211634,-3.945064144
211664,9.899519968934584
211071,10
212079,-4.719996938
212630,-3.47116243
213708,9.783989976338972
213815,9.964534388480248
213451,10
214195,10
214211,9.996427459268642
214256,10
213589,10
214831,9.839460787744331
214903,9.989133755895457
215082,10
215276,9.97316728
214610,-2.388681593
215699,9.988555901394676
215782,-5.856312568
216779,9.236984848027873
217191,9.960540691074387
216680,8.042563749
217542,10
218135,10
218290,9.992838698814744
218362,9.996657347618791
218354,10
218349,-5.989494688
217649,9.814718551147887
218432,9.804062414439136
218267,10
219297,-2.796703247
219645,-22.93306547
218941,9.945095599050276
219944,10
219994,9.804124280988868
220800,9.993070232903174
221136,10
221423,9.989815557840728
221453,-2.410818754
221524,9.342774768440988
221622,9.804364409
221768,-5.465558525
221007,9.993481932035328
221787,9.973109192669465
221811,9.828893300280841
222884,-4.325896243
222915,10
222983,-3.099767722
222650,9.439347287737336
224147,-2.975875056
224241,6.740983653638008
224275,10
224319,-42.62677743
224785,9.854302070652256
224196,9.567504492993855
224981,-10.16978931
225318,10
224779,9.940992055453805
225771,8.766544039931333
225144,9.890171304339201
226322,9.886738386034978
226352,9.781933755536976
226003,9.819125237467738
227139,9.882913363977844
227368,10
227684,9.913738322
227965,9.973487814975844
228139,9.982571177492256
227390,-41.5724822
228700,9.972682320104893
228843,9.916213343410263
228166,10
228543,-3.610679121
229369,-4.626608375
228921,10
229765,-2.874876385
229888,-39.8657581
230429,9.791616554
229692,9.911236654273772
230733,-4.043029133
231252,-2.787495614
231464,9.925856122
232090,8.741913140495823
232121,10
232284,-3.249110809
232555,-3.220313384
232625,-6.677198123
232067,10
232240,-3.13489398
233140,9.959171336591766
232493,9.144042420503675
232625,9.631307081453631
233984,10
234300,10
234616,10
234737,-2.903334722
234843,9.704150451764994
235142,9.977792702
235226,9.896867243547971
234957,-41.67919848
235909,9.617398336
235318,9.974572526
236197,-2.791424136
235505,9.944729025
236530,9.965458530156564
236692,9.422620267
236320,10
237353,-10.09390021
237363,9.969313515
238099,-41.39218112
238389,9.940535553
238403,9.826758395
238660,-1.968451994
238881,9.838367659889895
238061,9.989309565111732
238410,9.871020069458499
239774,9.996369360862767
239853,10
239963,-2.151285001
240013,10
239171,-26.09528136
239212,-2.636524648
240297,-15.25151823
241315,-3.231931045
241526,9.960185409102532
241652,10
241109,-2.661925998
242185,-3.183050216
242227,9.896230422434847
242255,9.863366682204425
242653,9.965579715
242739,9.851135866474849
241953,9.907606469614532
241984,-3.32878955
242421,9.812642854013731
243394,5.369080163091327
244390,9.788691786
243651,9.932164771630717
244744,10
244847,10
245085,9.803621362152805
245256,9.892548389344745
245599,9.981825974789395
244838,9.924725777028126
245707,9.763363753228253
246028,9.858318174211293
245538,9.797826760099785
246636,9.981052192
246839,9.980315317
247080,-3.53403506
246264,-3.804398776
247354,-41.2159057
246574,-4.370600731
247688,9.934045949382035
248210,10
248405,8.790789526
248455,-2.612954583
248545,10
247897,9.822222167580396
249043,9.910535705573471
248386,9.840024397181647
249665,-2.609281374
249754,9.992761839437874
249788,8.916458310922378
250126,10
250139,-2.177615059
249622,9.770660739
250232,-2.447755215
251210,10
251595,10
250870,10
251753,9.740621286566771
251816,9.847575933897442
252193,9.875060065
252473,8.032107337
252554,9.821594796
252070,-2.85731932
253057,-4.296393916
253302,-2.977397348
253432,9.916108996724269
253367,9.781366553
253445,9.956973493
254342,9.822247185192667
254423,9.804030683864017
254691,9.918688032077265
254121,9.922857633219401
255149,10
255314,10
255326,9.793462149
255485,10
255661,8.886537893184146
255035,9.632354617876803
256254,9.859569139828135
255833,-5.692634547
256961,9.890276191222325
256988,-3.061381042
257132,9.910111294585054
257147,9.818652007852648
256690,9.73646138
257752,9.935271697402634
257884,9.993262646982593
258293,9.910209889033215
258331,9.263345433189334
257603,9.783299920380495
258756,-3.284523123
259009,-2.85642454
258166,10
258836,-2.920518145
259765,9.976593022345055
259766,9.867114060321914
260195,9.896055602
259402,-2.851822849
260441,-2.352958389
260536,9.753617584751618
261123,9.815483289963401
261267,10
261346,10
261632,10
261653,-3.712582292
260880,-2.670962991
262119,9.876586558045059
261483,9.684569127827002
262622,10
262059,9.711619744279268
263231,-2.459394757
263523,9.976189043783949
263602,10
262839,-3.190765999
263918,10
264006,9.960227608
264378,-38.84273395
264474,10
265039,9.970969523295107
265128,9.942894589084906
264458,9.479388548337026
264546,9.948652619
264556,9.958598085
265567,9.832541512756755
265812,-2.905171959
266187,9.855089349570868
266316,-37.58156136
266675,-2.797022321
265762,9.882933916583761
267026,9.755495657037892
267517,9.988913903
267702,9.898308944684814
268019,-41.78919819
267188,10
268139,9.947134218854915
267358,9.881183043187281
268299,-2.742857827
268472,9.763122523
268707,-2.589309768
268925,9.615262647575806
268035,8.880999114443165
269757,9.812619089919156
269794,9.718061317866582
270168,9.825656000617059
270637,9.965879498
269725,9.823952070643399
270795,9.992809875706238
271035,9.978134187180657
270541,9.822572638849651
271603,9.857798577
270744,9.088970860486778
271835,8.63630207
270949,9.958625820911575
272175,10
272563,9.736346199325514
272870,10
272995,9.757189498
272989,9.981075056409974
273353,9.946751952161055
273975,9.759775861858703
274093,9.786006950313238
273147,-39.65918731
274277,-2.537707384
273709,9.302763259848719
273896,-1.238448313
274878,9.996426449516692
274961,10
273990,10
275194,9.642056941713772
275282,9.795935822295556
275577,9.901270573769006
275911,-41.44685369
276104,10
275858,9.950146599
276923,9.996703381942849
276991,9.843052211696266
277110,9.968088232
276393,9.284024694301014
276406,10
277906,-2.851883414
277952,7.498140153198655
278138,9.682980677
278332,9.791656665
278390,9.975489902331168
277544,-2.779914503
278977,-3.056737895
279279,9.792398845
279355,-13.63390991
278641,-2.719668981
279705,-3.749792479
280142,-2.509146002
279399,10
279425,-2.735350109
280754,9.899471593101797
280786,-3.171701181
280917,-3.208543243
280082,9.953351717418416
281312,10
281445,-3.514222098
281751,-2.768941125
281790,9.760453637467798
281857,9.954696471
282142,10
281408,9.779612573308242
282792,9.897909007775025
282099,9.958280524379337
282687,9.992601906
283812,9.946871766553373
284001,9.759161235711773
283028,10
284255,10
284326,9.872343399877755
284351,9.984502883829428
284548,9.947346819316659
284738,-2.290835782
285031,9.735422635
284048,9.834068146
285248,9.963831652878074
284443,-28.03108752
285521,9.993733817831247
285105,10
286514,5.236632031602002
286608,9.912352865793594
286977,10
287029,10
287134,-27.88504766
287344,9.737258930308133
287431,9.928051452647685
286484,9.814744710596479
287656,10
286780,9.981424378737605
288044,9.844318365338326
287307,9.521359443530296
288733,10
288176,-7.275775862
289282,9.755295043112088
289484,9.873649232784366
289582,-3.234462906
289580,10
288731,10
289976,-19.97994392
290060,9.956665562
290238,9.984882295356774
289262,10
290804,-2.846919177
290834,10
290102,9.870761200827639
290474,9.930516741485338
291667,9.928348244435764
291941,9.935043741252375
291957,9.887065265994961
292157,10
292193,9.668848907995882
292509,-2.836164033
291638,-2.611583687
291794,9.875628777762431
292909,9.883724567452623
293416,-2.960233891
293758,9.705013045874868
293180,-2.910519975
294172,-2.885670275
293328,10
294357,10
294500,10
294608,9.924871337440676
294653,9.98129685
294694,10
295021,8.871149656818822
294180,9.948084986798609
295616,-3.095928249
294819,9.984387267485193
296059,9.949556961891462
296108,9.989847139637668
295749,9.985136070959589
296848,10
295826,-3.535846839
296951,9.875104802248494
297205,9.892893074851344
297272,10
297294,9.888523400418299
297655,-3.233177923
297658,9.823589493
298317,9.632230310222674
297397,-2.581131261
297465,-2.852657261
298500,9.522013620218754
298787,9.799261691
299094,-3.265367609
298201,10
299556,-2.913053155
299605,10
299767,9.714077564318492
299989,9.620058766737808
299076,9.762734245690138
300226,9.960233291450004
300448,-3.222259399
300480,10
300681,9.924278513104438
300295,10
300500,9.993192324993611
301786,9.940154593575635
300752,9.814608123710652
301838,9.655355565486781
302114,9.640201123358427
301359,-2.885806754
302590,-3.170048066
302689,-19.80733817
302737,-2.880383923
302802,9.964266857494028
303085,9.996527068654858
303711,8.313035028900108
303750,-4.158331112
303836,9.694422106477461
302916,9.744023325614371
302961,9.829394751562461
304290,9.762214886900457
303292,-2.68805677
304460,-2.275775786
304665,10
304733,9.945174003187667
304128,9.541813448179717
305220,9.967081334367705
305785,9.829484139724544
305861,9.703448978
305885,10
305263,10
306410,9.789995593885148
306549,10
306891,9.930411737369786
307004,-2.827279129
306067,9.502129825941191
307316,-2.87691172
306387,9.944071229645711
307503,-2.902925657
306557,9.905226179601666
307894,9.975881481637654
308091,10
308338,10
308568,9.876298176521345
307871,9.962002394291025
308954,9.974889101
308955,9.964838550930159
308242,10
310188,9.855413162310914
310221,10
310310,9.893215674071193
310440,9.930497847
309397,9.853046770112396
310621,8.913724518
310675,10
309818,9.742473715652082
311149,9.96530091
311171,10
311272,10
311631,9.917051158
310773,9.138315833800505
311432,-28.4238219
312692,10
312912,10
311995,10
313062,-41.23333268
313211,9.980436058992094
313249,9.958139702898249
313457,-2.650976828
313676,9.126169065703928
313831,9.465349514139492
314071,9.957210833686904
313020,10
313444,9.980254544714832
314584,9.503275756
313876,10
315178,-3.784835696
315354,9.690382771553036
315567,-2.839817564
315596,9.911254942100841
315640,10
315721,9.973412616265955
314874,9.773418311261937
316039,10
316597,9.993046452216973
315530,9.929934811136077
316717,9.738411581537427
317198,9.925815724135314
316106,9.941721152
317530,-3.144001673
317624,-3.088070815
317637,9.664434231612745
316591,9.876806608627472
318126,9.981925733350097
318165,-2.841277415
318474,-2.347072439
317609,3.1247248454780285
318926,10
319349,9.748183023060772
319462,-2.43499902
318569,9.759851899389888
319995,9.936679098
318999,9.675530668
320123,9.890438507280573
319006,9.802532463721626
320349,9.859756657456956
320448,-2.428461006
320706,7.877149231
320981,9.926755098729123
321415,9.855963936508342
321729,9.823651599940101
321867,9.921298250520024
320742,9.896418477545403
321140,9.034542499559748
322637,10
321570,-3.217907735
322707,10
322876,9.870271121189086
321809,10
323009,9.976403415700943
323164,9.945048375695983
323203,9.992692984414692
323518,9.770339284412696
323783,9.978478449285873
322685,9.989460849560006
324213,-3.002317865
324841,-3.156214354
324030,9.812154266382803
325395,9.929550503
325434,10
325630,9.743251878789934
325691,10
325733,-3.650418337
325723,-3.188899937
324641,9.818493378828133
324665,9.843796513958948
326058,9.817584292040785
326259,-4.657286252
326109,-3.001498712
327499,-3.921773284
327523,10
326579,9.992531168044923
327936,-3.088268214
327987,9.629557601234554
328013,10
328152,9.220814497402516
328217,-3.21494145
328245,9.957927841478597
327132,9.771044540370777
328550,10
328924,9.922290418094342
327799,-2.870023051
328178,9.909719641611735
329844,9.980875721
329910,-2.69651958
330234,9.972979377862213
330361,-3.0299032
330592,9.867712781
330810,10
331023,8.649603435409237
331036,9.871550490262825
330037,9.483573929
330171,10
331529,9.933828330737306
331533,9.777816428372244
330468,-2.429427271
330751,-2.968694901
331952,-2.99635168
332721,9.130449452411321
332786,-42.37104701
333066,-3.298994169
333119,9.974940942567578
333287,-3.144730419
332260,-3.23997713
333495,9.956408949670502
333653,10
334343,9.955439607878098
333280,9.808981350857845
334478,10
333466,9.988331788213513
334741,9.760967641150202
333884,-2.938945821
335205,9.626555966
335353,10
335434,9.996197657674191
336219,9.966335931836493
336341,10
336557,-3.072186017
336659,9.741768119005886
336700,-2.860181224
336941,-2.747344102
335873,-2.836272322
337212,-3.367488348
336056,9.268335637803206
337760,-41.55811153
336699,9.761424763374658
336969,10
338408,9.857501363966751
338576,10
338668,10
338850,9.996488150114855
339106,-3.128758155
339179,-2.554781094
338168,9.926779844006967
339456,-2.816212845
339572,9.779932680488088
339711,-3.025634641
339845,9.964139783405107
338724,-2.843669389
339037,9.943318535
341021,9.940978668310708
340065,9.754966324213454
341536,9.918896054595352
341638,10
341740,9.170287900817751
341745,9.938181635
341817,9.914426228277494
341955,9.915774505534868
342069,10
341044,-2.794904147
341724,9.894641419933208
342963,9.779484225273487
343096,-3.12328379
341919,-2.862792506
343559,9.675649754
343770,-20.64755131
342823,9.207554661923792
344255,9.864756617848961
344342,9.941755528069999
344378,-3.930528456
344386,-3.274643261
344836,9.921810407838842
344900,10
345285,9.841635548447641
344147,-4.403469302
345403,9.793592369671606
344733,9.940803397582325
346000,-3.162760594
344980,-35.92237224
345336,9.961886517396216
347071,-22.93739356
347061,9.879849285833144
347157,9.984453769532365
347315,9.993124263067669
347366,10
348045,9.878954438247167
346869,9.937311277880136
348102,9.861683945784591
348126,-2.911050584
348230,9.538643418571914
348566,9.839750091719775
347544,10
347633,9.836639366604848
349496,-3.116936348
348532,9.938389716189619
349837,9.973904662539057
349838,9.923368106302995
350056,10
350310,9.992004106274726
350404,-3.203752017
349207,9.901549516
350479,9.916436167234476
350649,9.980720302248887
350897,9.916697772
350020,-3.00346393
350068,9.996417816364628
351376,10
352095,9.945852076592427
351055,-3.22740672
352565,9.464142119831063
352577,10
352856,9.921695531117754
352884,9.921326802815384
352897,9.953394862
353297,9.966119935866004
353574,10
352408,-2.488441686
352440,9.956567007991888
352652,9.877704547051142
354114,-1.988484966
354468,9.751695463374766
353308,9.933153392785329
354714,-2.890386019
355212,-2.831688366
355416,9.924096436155782
355669,4.194750812298742
355851,9.897287779
355866,10
354677,9.957738193480958
356034,9.932613746004352
354900,-3.131696636
356387,9.96769026
356602,9.976236765602437
355504,-19.42851923
356921,9.704270984
355858,-3.133789638
357401,9.845478739
357697,-2.921710337
357983,9.934554751529454
358107,-2.45408921
358138,9.899150904507257
357191,9.211508839126761
357319,9.926633420265416
358630,-3.192954809
358796,-2.877894659
358950,9.876495491145745
358955,9.983679174801976
358967,-2.682254902
358453,9.996342155882065
358691,10
360128,9.321045470739243
360395,-2.847741163
360441,10
360611,9.871809016297476
359455,9.887939019408364
360965,10
359736,9.973701857
361174,8.439153806826129
361189,9.979983547001579
361337,9.878183221937427
361377,9.737646147474882
361523,10
360940,9.882908005153418
360959,9.860282821
362560,9.915737729863961
361509,9.906245726546508
361640,9.812737527251011
363015,9.808855865689361
363077,9.823076166557135
363094,9.681949235180912
363147,9.777165408457568
363522,9.922504893301893
363693,9.786248036913484
364019,-2.933707198
364223,10
364321,-37.34553876
364757,9.996857204286073
363688,-2.287674567
365007,9.896813032128208
363788,9.935516850420095
363855,9.919653367172323
364283,-2.722204464
365573,-2.846331603
365810,9.856983339437312
366026,10
366054,9.993211237
366278,10
366331,9.901287784760846
366900,-2.432613588
367033,9.960573180602228
367498,10
366294,9.808822628332564
366519,8.898649034791928
367922,9.964517247612605
367975,9.938648387447284
366741,9.745661087754636
366783,9.953549616246555
368273,9.796911182553627
368294,9.895553177571708
369003,9.909319927515206
369085,9.834958597477593
369162,9.673378489510116
369563,10
369717,10
369855,9.893368568319747
368666,9.765259122503444
368667,9.847159391416989
368673,9.775879309
368738,9.870363452379207
370233,10
370341,-3.148482288
370776,9.837202859979099
371063,9.823644554321426
371334,-2.196346879
371461,10
371987,-3.021684585
372093,9.813674958819218
372210,9.710296894849725
372264,10
371045,10
371265,-3.174223471
372653,-2.317082543
373086,10
371799,9.764946435
371826,10
373383,9.886647964205393
373401,9.992465348
373834,-2.828442891
374067,10
374368,9.831796674790777
374463,10
373472,9.888727513351698
374836,9.934499738764867
374945,9.988377279143636
373776,10
375134,9.887984357674538
375553,10
374257,-3.093969362
374758,-3.42715466
376128,9.806522432233093
376207,9.992449837362821
376364,9.943259102175539
376485,10
376600,10
375440,9.808529702275775
376816,9.889220446732123
375533,9.878254009
376891,10
377301,9.783904579300334
377367,9.945822327346603
377448,9.630179316136664
376280,9.974860103570883
376593,9.611360805893591
378189,9.878638228665858
377119,9.917673373184634
378807,9.629922489
378882,10
378030,10
379529,9.843876613283234
379570,-2.958331695
379648,-2.424362708
379646,-2.095736817
378349,9.927599726142706
380175,-3.356530228
380167,-2.791119435
380188,9.872127745670289
380475,9.993051464013787
379392,9.391405004550258
381018,9.945064702254188
380003,9.992485384203947
380316,9.726428919348354
381977,9.833597384822415
382121,9.876911352600962
382150,10
382244,9.992198248273402
382309,-1.903906896
382371,9.853874174
382386,-2.691137094
382406,7.912757507375907
381185,9.884626262
381358,9.665972831948459
382759,9.949904807693892
382912,10
382466,-3.108080375
384242,9.922901719859903
384292,9.985477271790115
384348,-2.683395844
383063,9.92800006
384406,9.946165864175187
384439,-2.699432724
384590,9.918785653759507
383329,10
384891,9.640123316267003
385034,10
385421,10
384085,9.907767180572684
385683,10
384674,10
385036,9.854371985429216
386466,-2.889305488
386528,10
386786,-29.33557898
386915,10
386938,10
386961,9.903626413449501
385715,10
385830,9.779180132878507
387219,10
387639,9.975676621020591
387779,9.910069890939635
388413,-2.818177016
387351,9.924476998
387374,9.965685876321068
389055,9.778233467707627
389043,10
389158,9.983168717657836
389212,10
387998,9.919885611
389554,9.983046087261407
389605,-3.216656616
388336,9.912094630867719
390057,-2.871720869
390056,10
390273,10
389546,9.984208048
391017,7.9897429637274415
391119,10
391201,9.885686722
389820,9.946138103660353
391243,10
391251,-2.865037815
389981,-2.801983271
391887,10
390738,9.985311514840319
392220,5.814978653157292
392334,9.869163203237388
392349,9.983738458435717
392864,10
392900,9.948885859900653
393201,9.937583327124363
391919,9.826878137253487
393458,9.79549561
393552,9.939298423768237
393874,10
392550,9.968363260135176
392741,9.772200422058388
394209,9.996623681163133
394678,9.992869156966991
394909,-2.479743461
393588,9.904889903122024
395033,9.841927122762613
395193,9.982451605959286
395267,9.995862210919316
395461,10
395505,9.983992785972665
395670,9.970024905
394685,9.937616101281238
394861,9.738237858808839
395125,-2.953386205
396703,-2.951172006
396877,9.902100529140998
396912,9.775327067627414
396946,9.908346216444125
396990,-0.164793076
397086,9.984366178
395915,-3.250177887
397564,10
397796,-3.210771596
397836,9.688635256770583
396820,9.989029653087078
398476,9.981931932754339
398598,10
399071,-2.924051769
397791,9.933889904622125
399243,10
397922,9.976207683867752
399431,9.964652668191187
398184,9.927526116146778
399770,-29.11609028
400331,9.888357058932122
400362,9.951354410086406
400439,9.903044639777294
400473,9.596423846
400623,9.895399407413292
399508,-2.564347162
401027,9.897016368340628
399636,9.923508099527236
399896,10
400048,9.938460881350567
