steps,reward
42173,10.0,1
42178,-10.269463358154045,100
42388,9.87776233802287,7
43065,9.989669715077676,1
46261,10.0,1
46829,-40.66202686340572,100
47324,6.231433180920192,39
47778,-16.778635956277814,100
48107,9.977653751882714,2
48354,10.0,1
48394,-18.727427469780096,100
48528,-8.448670123634102,100
48501,9.98799958389377,1
48762,-6.981473383839249,100
48873,10.0,1
49424,-15.534034880515579,100
49457,10.0,1
49663,-18.176218586448677,100
53592,5.9561361205255485,68
53893,9.992554424041227,1
54137,7.604517438950587,52
54253,-2.6981339722993756,100
54441,10.0,1
54996,2.604692044169007,79
55326,-5.3390374014821464,100
55388,-33.87499876286488,100
55300,-11.258614009790351,100
55641,6.754096941718384,60
55452,9.065161475293946,11
55955,9.989773808189403,1
56602,10.0,1
57005,8.508715135366673,19
59922,10.0,1
60477,4.774301495664238,36
60687,-7.895956384462755,100
60993,9.992914805413326,1
61181,-14.581454782508999,100
61789,10.0,1
62223,-19.823863897182836,100
62341,-13.179693414027026,100
62190,-11.748378429016899,100
62559,-5.985178072088765,100
62428,-8.126383812724223,100
62948,-5.926018518830904,100
63353,4.094889975980353,61
63540,-21.93824871671478,100
66454,10.0,1
67336,-8.463108795453316,100
67518,3.6710626412845304,53
67888,-11.520580782368587,100
67932,-27.065342137859545,100
68458,-15.817311736032703,100
68506,-20.497180936613344,100
68830,-30.39287851199544,100
68679,5.062887193599223,45
68917,-13.83164402224229,100
69537,-25.862630661707314,100
69339,-8.350613580416569,100
69705,-12.898977299694533,100
70084,-10.536468117657,100
72853,7.545719377845954,16
73722,9.940027230205812,5
73742,9.846009785174104,8
73945,-4.209176097072028,98
74208,9.70298280761507,14
74887,-15.577702712671055,100
75224,9.996540403172931,1
75361,-11.90603800482887,100
75273,9.991861735752623,1
75941,-13.969990468183147,100
75784,-41.299567327659545,100
75864,9.256839165850344,3
76293,10.0,1
77539,-11.348936782694246,100
79378,9.8896899096856,7
79881,5.872063641000219,44
80489,7.354891405977119,35
80532,-14.069279017842183,100
80504,-10.36048000619306,100
81668,-5.7426535555035025,100
81378,-15.449792635592017,100
81859,-25.564279725401594,100
81572,9.934811251494176,4
81883,-11.263103711302106,100
82079,-5.325034473916875,100
82490,-24.383387239501083,100
82930,2.710411061393631,80
83213,-14.814449121291366,100
85276,10.0,1
86427,-10.679303318442013,100
86500,-14.681882532699062,100
86654,9.635389858807724,10
86882,9.940099129738062,4
87600,9.499733342219006,6
87310,-11.169858914458056,100
87620,10.0,1
87441,-41.68722834378662,100
88068,-12.445139955069559,100
88325,9.86717302322394,7
88751,9.690931446369193,15
89379,-23.14726901682834,100
89982,-8.614688145713012,100
91995,-19.312362341644853,100
92283,8.590427211543965,30
92370,-14.592339209236291,100
92250,-16.526785667655513,100
92651,10.0,1
92823,10.0,1
93480,10.0,1
93311,-9.49303692079648,100
93695,10.0,1
93951,10.0,1
94060,-27.61102136717225,100
94439,10.0,1
95525,10.0,1
96330,-23.026156132042622,100
98354,-13.287292985067674,100
98644,-11.999525059089105,100
98731,-11.681496478638277,100
98972,7.643766833031875,17
99081,-16.545397098067333,100
99184,10.0,1
99257,9.995974044966331,1
99702,-11.176085059781771,100
100193,10.0,1
100468,-11.392951911092151,100
100543,6.945247240321484,47
100856,-13.640310131204329,100
102253,-6.056340598920178,100
102729,9.971459261508224,2
103865,9.29943165144852,26
104192,-41.048612721059165,100
104256,-8.630406221918099,100
104899,-10.802486812448347,100
105425,-10.833262863723077,100
105495,-17.701613651919605,100
105526,-10.351576180897744,100
105874,10.0,1
106010,-24.717590019197434,100
106418,-17.58456652976243,100
106665,9.754528358604452,4
107607,4.990887536126163,40
108479,-35.94775156005992,100
109151,10.0,1
109788,9.702961871408895,15
109874,-16.72097418870673,100
110119,10.0,1
111367,-10.806966224017373,100
111509,-18.386233362110513,100
111853,-6.700086569039513,100
111910,-11.787038052935587,100
112555,-8.605423757705934,100
112304,-25.163112794954596,100
112548,3.0339504128204995,96
113039,-4.143794308467555,55
114074,1.460095902696862,67
114230,-17.360642453527653,100
115757,-1.6219177434009193,90
115602,10.0,1
116258,9.772058694721368,11
116364,9.716214141462041,14
116650,-8.437985687963236,100
116674,9.92161004189292,5
116987,10.0,1
118442,-14.043892425825167,100
118571,9.75148556280693,9
118580,10.0,1
119056,-10.524372772007611,100
119561,-4.264870382550338,72
120195,-20.17350559873678,100
120556,9.951205392586724,4
120772,9.913152587341003,5
122086,-10.009449697517395,100
122474,-14.871987233312836,100
122471,10.0,1
122918,-20.435894679333533,100
123103,-16.925516751888214,100
123208,8.580871882634208,8
123215,-12.26855537050642,100
125090,-15.411162350099138,100
125331,9.808706604857047,10
125238,-14.40690748255003,100
125728,-12.525726549443464,100
126426,6.7684811920243195,19
126673,10.0,1
127130,9.95460669357548,3
126720,-13.637246662510824,100
128323,-11.839220596690264,100
128448,10.0,1
128566,-9.143552239945725,100
128606,-11.515473760893537,100
129345,8.590395831281267,12
130133,-42.896702371279424,100
130988,-14.053203465207888,100
131569,10.0,1
131166,6.041528558704487,29
131242,5.844251507536065,52
132258,-41.213973796511304,100
131835,10.0,1
133639,-27.991662340354033,100
133652,9.906396339490335,6
134378,10.0,1
134464,9.351975499914543,14
134658,-9.288933893261875,100
134763,10.0,1
135533,-7.702820655958259,100
135199,9.974891588423064,2
137373,8.994238852090369,16
137568,9.50756525947674,10
137309,9.340803876175757,9
137352,-7.9596925894003805,100
137852,9.920462950755244,5
137705,10.0,1
138829,-39.382245306019605,100
139931,-12.310180174489286,100
140727,-36.65911129668225,100
