steps,reward
49697,-42.194948389788536,100
50300,-12.43402524610008,100
50307,-4.212691008877791,100
50490,8.666519629019549,34
50894,-17.795251696801362,94
50947,-20.307606695990803,100
51169,-42.587496785228495,100
51062,8.982113228034564,12
51528,-12.628938956519075,100
53223,-14.718947420843467,100
56853,10.0,1
57500,10.0,1
57563,8.169254875805128,57
57678,-8.994023412538393,100
58055,-42.428029650166366,100
58182,-42.19360249008163,100
58237,-11.21760067824549,100
58552,4.919306862383946,51
59490,-37.38208211514192,100
59320,6.810113340253347,71
59617,10.0,1
59440,-21.07358363568845,100
59822,-5.872710112140927,100
61813,-11.274259776496635,100
65280,-9.159533024360236,100
65546,-18.057212112187806,100
65856,-7.501142079570578,100
65879,-5.198190888489097,100
66068,-18.264718863146864,100
66337,-8.079870508696315,100
66730,-18.678946222415963,100
66970,8.397847473370563,21
67921,8.867711169342826,20
67952,-19.084848330396913,100
68209,-12.160880944848156,100
68402,8.64476858305429,46
68709,3.5609802277328093,45
70746,10.0,1
73285,-22.095985515025248,100
73126,-4.632887207755044,100
73882,10.0,1
74056,-16.321421766004477,100
74373,-41.832108623142204,100
75000,-13.892940487657352,100
75147,6.571580181221783,33
74951,-15.196818603839734,100
75500,10.0,1
76145,-6.577948413275427,100
76674,-42.51985979643967,100
76453,-28.41236369630517,100
77027,-23.70128175972819,100
78813,2.2142333893611434,93
81320,-28.318896522821877,100
81329,-26.95938877070271,100
81116,-5.907232545669446,100
82541,6.155941418402227,38
82966,9.935593416236287,4
83241,-9.304284216323454,100
83220,-13.129289399463145,100
83654,-7.107833298457614,100
84157,-25.716482049507217,100
84566,-17.755932955999853,100
84628,-28.487545853628873,100
84675,-42.32714206536834,100
84693,7.201227883282357,32
86636,0.8971922827826173,78
88924,10.0,1
89656,-11.238025814272776,100
89850,9.13965774603032,13
90961,-24.690108953643726,100
91037,-9.323158972557751,100
91208,-31.06457004544966,100
91833,-23.120366314967757,100
91563,-8.436122989929563,100
92168,-33.400651535849505,100
92559,6.859522748466084,21
92690,10.0,1
92848,5.996139461870779,42
92581,9.189784210077345,37
94081,-9.455935747160604,100
97199,-10.996513800859447,100
97769,-39.02424433040687,100
98369,-9.829050609935214,100
99218,-29.29466221347665,100
99443,7.440635526596296,23
99205,-15.627860356196036,100
99933,-40.87180022835058,100
100159,-5.4806360774019645,100
100834,-10.727263615084413,100
100646,9.160602670054507,22
101091,9.970875076113241,2
100902,8.958468749350837,15
101457,-10.287512426876614,100
102406,-5.534362547254809,100
105415,-22.47371226001331,100
106406,-14.155617022305712,100
107163,10.0,1
107390,-40.70831230935562,100
107249,1.587510347993188,74
107821,-16.665296819581975,100
108316,-42.54631724567993,100
108497,-6.977623876885048,100
108547,-42.679442066572136,100
109145,-5.35663055163,100
109496,6.871121413693747,41
109639,-12.524212366590413,100
109285,-8.45418428020145,100
110911,-6.971652686971827,100
113294,-42.73321618337747,100
115003,-9.940886169193568,100
115471,-6.49588956544446,100
